RecordId,MAK,PropertyAddress,Suite,City,State,ZipCode,ZipCodePlus4,Latitude,Longitude,FIPSCode,APN,CensusKey,CensusKeyDecennial,CountyLandUseDescription,TotalAssessedValue,AssessmentYear,LotSizeOrArea,LotSizeAreaUnit,SalesPriceFromAssessment,YearBuilt,TotalNumberOfRooms,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,NumberOfStories,NumberOfBuildings,NumberOfUnits,GarageTypeParking,GarageParkingNumberOfCars,HasDeck,DeckArea,HasGuestHouse,GuestHouseArea,PoolType,PoolArea,AirConditioning,HasFireplace,FireplaceCount,HasBasement,HasElevator,HasSecurityAlarm,HasSprinklers
13,6539838343,36 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.582175,-117.627542,06059,780-042-67,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",1103864,2023,5891.0000000,SF,830000,1999,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
14,4416186200,28 Crystalaire,,Rancho Santa Margarita,CA,92688,8717,33.581410,-117.626536,06059,780-043-20,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",847273,2023,5934.0000000,SF,620000,1998,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
15,9680844113,41 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.581533,-117.626031,06059,780-043-23,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",746589,2023,7006.0000000,SF,489500,2000,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
16,1088715341,39 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.581364,-117.626086,06059,780-043-24,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",680709,2023,5668.0000000,SF,470000,1998,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
17,2177127846,33 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580996,-117.626281,06059,780-043-27,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",1084291,2023,5037.0000000,SF,842000,2000,0,5,3.00,0,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
18,2015058996,19 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580735,-117.627122,06059,780-043-33,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",541275,2023,4540.0000000,SF,366500,1999,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
19,1203708022,6 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580457,-117.628085,06059,780-043-39,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",600221,2023,5579.0000000,SF,406500,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
20,4753417097,12 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580392,-117.627659,06059,780-043-42,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",859571,2023,4378.0000000,SF,629000,1999,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
21,8359137169,14 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580372,-117.627516,06059,780-043-43,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",612038,2023,5091.0000000,SF,414500,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
22,2214173265,18 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580283,-117.627224,06059,780-043-45,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",1069697,2023,6513.0000000,SF,975000,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
23,4328953741,1 Freesia,,Rancho Santa Margarita,CA,92688,8745,33.580433,-117.626527,06059,780-043-49,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",536857,2023,5184.0000000,SF,361500,1999,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
24,3450194927,6 Freesia,,Rancho Santa Margarita,CA,92688,8745,33.580470,-117.625831,06059,780-043-54,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",661970,2023,7796.0000000,SF,425000,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
25,6136200468,38 Edelweiss,,Rancho Santa Margarita,CA,92688,8744,33.581107,-117.625637,06059,780-043-60,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",678349,2023,6233.0000000,SF,438000,2000,0,5,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
26,5084218605,40 Edelweiss,,Rancho Santa Margarita,CA,92688,8744,33.581252,-117.625562,06059,780-043-61,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",598277,2023,5547.0000000,SF,396000,2000,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
27,7841548647,26 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.593431,-117.622746,06059,780-051-06,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",924447,2023,4730.0000000,SF,690000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
28,3269312532,34 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.592871,-117.622776,06059,780-051-10,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",332913,2023,3950.0000000,SF,206000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
29,2015438584,38 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.592608,-117.622878,06059,780-051-12,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",384264,2023,3950.0000000,SF,222000,1996,0,3,2.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
30,5041489430,44 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.592202,-117.622991,06059,780-051-15,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",626684,2023,4080.0000000,SF,439000,1996,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
31,9631336244,44 Woodsong,,Rancho Santa Margarita,CA,92688,5519,33.593890,-117.623385,06059,780-051-29,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",608018,2023,4400.0000000,SF,433000,1996,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
32,1404053707,62 Woodsong,,Rancho Santa Margarita,CA,92688,5519,33.592663,-117.623706,06059,780-051-38,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",338443,2023,5400.0000000,SF,216500,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
33,7472373278,61 Woodsong,,Rancho Santa Margarita,CA,92688,5518,33.592834,-117.624162,06059,780-051-39,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",542453,2023,3600.0000000,SF,360000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
34,5235297322,57 Woodsong,,Rancho Santa Margarita,CA,92688,5518,33.593092,-117.624043,06059,780-051-41,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",580504,2023,3700.0000000,SF,385500,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
35,4578706509,30 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.592809,-117.624561,06059,780-051-61,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",558024,2023,4235.0000000,SF,393000,1995,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
36,4657488720,37 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.592347,-117.625012,06059,780-051-64,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",809009,2023,3600.0000000,SF,592000,1995,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
37,2644249175,29 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.592899,-117.624952,06059,780-051-68,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",463455,2023,4212.0000000,SF,320000,1995,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
38,4978452695,27 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593029,-117.624881,06059,780-051-69,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",729749,2023,3900.0000000,SF,534000,1995,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
39,1157162927,1 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.594477,-117.624334,06059,780-051-80,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",421021,2023,4810.0000000,SF,285000,1997,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
40,1314509353,12 Wildemere,,Rancho Santa Margarita,CA,92688,5558,33.594511,-117.623661,06059,780-051-84,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",436403,2023,4150.0000000,SF,270000,1996,0,4,2.00,1,,0,0,,0,N,,N,,904,,,N,0,,,N,N
41,4444394569,32 Meadowood,,Rancho Santa Margarita,CA,92688,5520,33.595022,-117.621532,06059,780-062-05,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",947030,2023,7000.0000000,SF,590000,1996,0,3,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
42,4199269385,5 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.595027,-117.621034,06059,780-062-14,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",897895,2023,4560.0000000,SF,645000,1995,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
43,5935191034,33 Greenvale,,Rancho Santa Margarita,CA,92688,5529,33.595454,-117.620812,06059,780-062-16,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",443442,2023,5600.0000000,SF,280000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
44,5886883497,24 Castletree,,Rancho Santa Margarita,CA,92688,5560,33.594552,-117.622585,06059,780-063-02,060590320653003,060590320653003,"SINGLE FAMILY RESIDENTIAL",544767,2023,6720.0000000,SF,302500,1995,0,4,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
45,3877882092,28 Castletree,,Rancho Santa Margarita,CA,92688,5560,33.594252,-117.622291,06059,780-063-04,060590320653003,060590320653003,"SINGLE FAMILY RESIDENTIAL",494149,2023,6664.0000000,SF,320000,1997,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
46,6327463108,6 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595889,-117.623665,06059,780-064-16,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",416018,2023,5220.0000000,SF,251000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,999,0,,N,0,,,N,N
47,2615713449,20 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.594986,-117.623189,06059,780-064-23,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",370687,2023,4840.0000000,SF,237000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
48,4474795592,3 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.597543,-117.621093,06059,780-071-14,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",425167,2023,5775.0000000,SF,272000,1996,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
49,7163250868,1 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.597690,-117.620924,06059,780-071-15,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",533992,2023,7500.0000000,SF,303000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
50,6925931889,2 Meadowood,,Rancho Santa Margarita,CA,92688,5531,33.597662,-117.620717,06059,780-071-16,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",780955,2023,5880.0000000,SF,550000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
51,8877149928,12 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597390,-117.621689,06059,780-071-24,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",553754,2023,4644.0000000,SF,372500,1995,0,4,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
52,9464696065,17 Woodsong,,Rancho Santa Margarita,CA,92688,5501,33.597196,-117.622183,06059,780-071-35,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",570517,2023,4482.0000000,SF,375000,1995,0,4,2.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
53,2125632465,12 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.597063,-117.622638,06059,780-071-42,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",696037,2023,6670.0000000,SF,500000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
54,3035592779,9 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.597345,-117.622993,06059,780-071-50,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",497100,2023,4675.0000000,SF,336500,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
55,3737182485,15 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.597064,-117.623095,06059,780-071-52,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",589265,2023,5525.0000000,SF,415000,1995,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
56,8870849311,37 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.586613,-117.626826,06059,780-091-34,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",712747,2023,4638.0000000,SF,512000,1997,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
57,8824343086,49 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.585909,-117.626256,06059,780-091-40,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",833606,2023,4276.0000000,SF,610000,1997,0,5,3.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
58,1652974513,18 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587418,-117.625563,06059,780-091-57,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",452042,2023,4711.0000000,SF,300000,1998,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
59,9616377798,10 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5568,33.588059,-117.626267,06059,780-092-01,060590320653007,060590320653007,"SINGLE FAMILY RESIDENTIAL",536118,2023,6486.0000000,SF,320000,1998,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
60,6230024206,22 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5568,33.587644,-117.626530,06059,780-092-25,060590320653007,060590320653007,"SINGLE FAMILY RESIDENTIAL",821187,2023,6521.0000000,SF,590000,1998,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
61,1246715357,35 Castletree,,Rancho Santa Margarita,CA,92688,5528,33.593217,-117.621536,06059,780-101-01,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",404622,2023,7280.0000000,SF,228000,1996,0,5,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
62,2836515987,37 Castletree,,Rancho Santa Margarita,CA,92688,5528,33.593048,-117.621590,06059,780-101-02,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",373976,2023,5468.0000000,SF,239000,1996,0,4,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
63,5140226795,43 Castletree,,Rancho Santa Margarita,CA,92688,5528,33.592589,-117.621705,06059,780-101-05,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",480112,2023,4316.0000000,SF,325000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
64,1005752209,47 Castletree,,Rancho Santa Margarita,CA,92688,5528,33.592298,-117.621783,06059,780-101-07,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",930117,2023,4316.0000000,SF,730000,1996,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
65,5480220227,42 Castletree,,Rancho Santa Margarita,CA,92688,5506,33.592765,-117.622099,06059,780-101-28,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",652450,2023,4300.0000000,SF,459500,1996,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
66,3377378506,40 Castletree,,Rancho Santa Margarita,CA,92688,5506,33.592907,-117.622064,06059,780-101-29,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",366776,2023,4398.0000000,SF,232000,1996,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
67,3317418800,12 Summit Ct,,Rancho Santa Margarita,CA,92688,5544,33.587324,-117.623208,06059,780-111-05,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",1245857,2023,9425.0000000,SF,1450000,1997,0,5,4.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
68,7936176219,6 Summit Ct,,Rancho Santa Margarita,CA,92688,5544,33.587867,-117.623334,06059,780-111-08,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",1233122,2023,6890.0000000,SF,1075000,1997,0,4,3.00,1,,0,0,999,2,N,0,N,0,999,0,,N,0,,,N,N
69,6428526357,4 Summit Ct,,Rancho Santa Margarita,CA,92688,5544,33.588037,-117.623434,06059,780-111-09,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",1288015,2023,6864.0000000,SF,1150000,1997,0,4,4.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
70,5503337702,11 Chaparral Ct,,Rancho Santa Margarita,CA,92688,5546,33.588532,-117.621851,06059,780-111-25,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",1173732,2023,7130.0000000,SF,825000,1996,0,5,4.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
71,4747188649,21 Chaparral Ct,,Rancho Santa Margarita,CA,92688,5546,33.588052,-117.621233,06059,780-111-29,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",1072826,2023,6890.0000000,SF,711000,1996,0,4,3.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
72,4336676943,22 Chaparral Ct,,Rancho Santa Margarita,CA,92688,5546,33.588143,-117.621039,06059,780-111-30,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",994220,2023,9000.0000000,SF,652500,1996,0,4,3.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
73,3044568005,36 Crestview Dr,,Rancho Santa Margarita,CA,92688,5552,33.590409,-117.620843,06059,780-121-02,060590320653001,060590320653001,"SINGLE FAMILY RESIDENTIAL",613714,2023,8071.0000000,SF,395000,1997,0,5,4.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
74,2322627322,5 Chaparral Ct,,Rancho Santa Margarita,CA,92688,5553,33.589332,-117.621817,06059,780-122-10,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",978157,2023,7920.0000000,SF,610000,1997,0,4,3.00,1,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
75,6703245999,12 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.589688,-117.622055,06059,780-122-18,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",742223,2023,5569.0000000,SF,520000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,904,0,,N,0,,,N,N
76,6108891342,28 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.588970,-117.622482,06059,780-122-23,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",473256,2023,7383.0000000,SF,298500,1997,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
77,2212545485,29 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.588973,-117.623041,06059,780-122-25,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",646751,2023,8480.0000000,SF,379000,1997,0,3,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
78,6295229998,27 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.589145,-117.623030,06059,780-122-26,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",500252,2023,6414.0000000,SF,279000,1997,0,4,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
79,9198184756,19 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.589719,-117.622633,06059,780-122-30,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",1130914,2023,5650.0000000,SF,920000,1997,0,4,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
80,4373067956,11 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.590052,-117.622242,06059,780-122-33,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",869911,2023,5408.0000000,SF,625000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
81,2056189762,1 Hillside Dr,,Rancho Santa Margarita,CA,92688,5554,33.590682,-117.621518,06059,780-122-38,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",709790,2023,7787.0000000,SF,458000,1996,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
82,3044582284,50 Ledgewood Dr,,Rancho Santa Margarita,CA,92688,5539,33.587290,-117.624522,06059,780-131-08,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",967501,2023,6534.0000000,SF,695000,1997,0,4,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
83,7756568377,51 Ledgewood Dr,,Rancho Santa Margarita,CA,92688,5543,33.587136,-117.625005,06059,780-131-15,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",586303,2023,6534.0000000,SF,358000,1997,0,4,3.00,0,,0,0,999,3,N,0,N,0,502,0,,N,0,,,N,N
84,4920342261,39 Ledgewood Dr,,Rancho Santa Margarita,CA,92688,5543,33.588103,-117.625320,06059,780-131-21,060590320653005,060590320653005,"SINGLE FAMILY RESIDENTIAL",987573,2023,6534.0000000,SF,645000,1997,0,4,3.00,0,,0,0,999,3,N,0,N,0,999,0,,N,0,,,N,N
85,9288073777,22 Sunny Slope,,Rancho Santa Margarita,CA,92688,5556,33.589769,-117.623436,06059,780-151-19,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",342242,2023,5635.0000000,SF,223000,1996,0,3,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
86,2728355402,25 Sunny Slope,,Rancho Santa Margarita,CA,92688,5556,33.589690,-117.623923,06059,780-151-36,060590320653004,060590320653004,"SINGLE FAMILY RESIDENTIAL",894744,2023,5499.0000000,SF,830000,1995,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
