RecordId,MAK,PropertyAddress,Suite,ZipCodePlus4,Latitude,Longitude,APN,CensusKey,CountyLandUseDescription,TotalAssessedValue,LotSizeOrArea,SalesPriceFromAssessment,YearBuilt,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,GarageTypeParking,GarageParkingNumberOfCars,PoolType
39,1157162927,1 Wayfaire,,5500,33.594477,-117.624334,780-051-80,60590320653005,SINGLE FAMILY RESIDENTIAL,421021,4810.0,285000,1997,3,3.0,0,Type Not Specified,2,No Pool
40,1314509353,12 Wildemere,,5558,33.594511,-117.623661,780-051-84,60590320653005,SINGLE FAMILY RESIDENTIAL,436403,4150.0,270000,1996,4,2.0,1,Unknown,0,Spa/Hot Tub (only)
41,4444394569,32 Meadowood,,5520,33.595022,-117.621532,780-062-05,60590320653001,SINGLE FAMILY RESIDENTIAL,947030,7000.0,590000,1996,3,3.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
42,4199269385,5 Cloverdale,,5507,33.595027,-117.621034,780-062-14,60590320653001,SINGLE FAMILY RESIDENTIAL,897895,4560.0,645000,1995,3,3.0,0,Type Not Specified,2,No Pool
43,5935191034,33 Greenvale,,5529,33.595454,-117.620812,780-062-16,60590320653001,SINGLE FAMILY RESIDENTIAL,443442,5600.0,280000,1996,3,3.0,0,Type Not Specified,2,No Pool
44,5886883497,24 Castletree,,5560,33.594552,-117.622585,780-063-02,60590320653003,SINGLE FAMILY RESIDENTIAL,544767,6720.0,302500,1995,4,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
45,3877882092,28 Castletree,,5560,33.594252,-117.622291,780-063-04,60590320653003,SINGLE FAMILY RESIDENTIAL,494149,6664.0,320000,1997,3,3.0,0,Type Not Specified,2,No Pool
46,6327463108,6 Castletree,,5550,33.595889,-117.623665,780-064-16,60590320653001,SINGLE FAMILY RESIDENTIAL,416018,5220.0,251000,1996,4,2.0,1,Type Not Specified,2,Type Unspecified
47,2615713449,20 Castletree,,5550,33.594986,-117.623189,780-064-23,60590320653001,SINGLE FAMILY RESIDENTIAL,370687,4840.0,237000,1996,4,2.0,1,Type Not Specified,2,No Pool
48,4474795592,3 Meadowood,,5521,33.597543,-117.621093,780-071-14,60590320653001,SINGLE FAMILY RESIDENTIAL,425167,5775.0,272000,1996,5,3.0,0,Type Not Specified,2,No Pool
49,7163250868,1 Meadowood,,5521,33.59769,-117.620924,780-071-15,60590320653001,SINGLE FAMILY RESIDENTIAL,533992,7500.0,303000,1996,3,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
50,6925931889,2 Meadowood,,5531,33.597662,-117.620717,780-071-16,60590320653001,SINGLE FAMILY RESIDENTIAL,780955,5880.0,550000,1996,3,3.0,0,Type Not Specified,2,No Pool
51,8877149928,12 Woodsong,,5503,33.59739,-117.621689,780-071-24,60590320653001,SINGLE FAMILY RESIDENTIAL,553754,4644.0,372500,1995,4,3.0,0,Type Not Specified,3,No Pool
52,9464696065,17 Woodsong,,5501,33.597196,-117.622183,780-071-35,60590320653001,SINGLE FAMILY RESIDENTIAL,570517,4482.0,375000,1995,4,2.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
53,2125632465,12 Greenvale,,5517,33.597063,-117.622638,780-071-42,60590320653001,SINGLE FAMILY RESIDENTIAL,696037,6670.0,500000,1996,4,2.0,1,Type Not Specified,2,Spa/Hot Tub (only)
54,3035592779,9 Greenvale,,5516,33.597345,-117.622993,780-071-50,60590320653001,SINGLE FAMILY RESIDENTIAL,497100,4675.0,336500,1996,4,2.0,1,Type Not Specified,2,Spa/Hot Tub (only)
55,3737182485,15 Greenvale,,5516,33.597064,-117.623095,780-071-52,60590320653001,SINGLE FAMILY RESIDENTIAL,589265,5525.0,415000,1995,4,2.0,1,Type Not Specified,2,No Pool
56,8870849311,37 Grassy Knoll Ln,,5567,33.586613,-117.626826,780-091-34,60590320653005,SINGLE FAMILY RESIDENTIAL,712747,4638.0,512000,1997,4,2.0,1,Type Not Specified,2,No Pool
57,8824343086,49 Grassy Knoll Ln,,5567,33.585909,-117.626256,780-091-40,60590320653005,SINGLE FAMILY RESIDENTIAL,833606,4276.0,610000,1997,5,3.0,1,Type Not Specified,2,No Pool
58,1652974513,18 Sunnydale Ln,,5569,33.587418,-117.625563,780-091-57,60590320653005,SINGLE FAMILY RESIDENTIAL,452042,4711.0,300000,1998,5,3.0,0,Type Not Specified,2,No Pool
59,9616377798,10 Grassy Knoll Ln,,5568,33.588059,-117.626267,780-092-01,60590320653007,SINGLE FAMILY RESIDENTIAL,536118,6486.0,320000,1998,4,2.0,1,Type Not Specified,2,No Pool
60,6230024206,22 Grassy Knoll Ln,,5568,33.587644,-117.62653,780-092-25,60590320653007,SINGLE FAMILY RESIDENTIAL,821187,6521.0,590000,1998,5,3.0,0,Type Not Specified,2,No Pool
61,1246715357,35 Castletree,,5528,33.593217,-117.621536,780-101-01,60590320653004,SINGLE FAMILY RESIDENTIAL,404622,7280.0,228000,1996,5,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
62,2836515987,37 Castletree,,5528,33.593048,-117.62159,780-101-02,60590320653004,SINGLE FAMILY RESIDENTIAL,373976,5468.0,239000,1996,4,3.0,0,Type Not Specified,3,No Pool
63,5140226795,43 Castletree,,5528,33.592589,-117.621705,780-101-05,60590320653004,SINGLE FAMILY RESIDENTIAL,480112,4316.0,325000,1996,4,2.0,1,Type Not Specified,2,No Pool
64,1005752209,47 Castletree,,5528,33.592298,-117.621783,780-101-07,60590320653004,SINGLE FAMILY RESIDENTIAL,930117,4316.0,730000,1996,4,2.0,1,Type Not Specified,2,No Pool
65,5480220227,42 Castletree,,5506,33.592765,-117.622099,780-101-28,60590320653004,SINGLE FAMILY RESIDENTIAL,652450,4300.0,459500,1996,4,3.0,0,Type Not Specified,2,No Pool
66,3377378506,40 Castletree,,5506,33.592907,-117.622064,780-101-29,60590320653004,SINGLE FAMILY RESIDENTIAL,366776,4398.0,232000,1996,5,3.0,0,Type Not Specified,2,No Pool
67,3317418800,12 Summit Ct,,5544,33.587324,-117.623208,780-111-05,60590320653001,SINGLE FAMILY RESIDENTIAL,1245857,9425.0,1450000,1997,5,4.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
68,7936176219,6 Summit Ct,,5544,33.587867,-117.623334,780-111-08,60590320653001,SINGLE FAMILY RESIDENTIAL,1233122,6890.0,1075000,1997,4,3.0,1,Type Not Specified,2,Type Unspecified
69,6428526357,4 Summit Ct,,5544,33.588037,-117.623434,780-111-09,60590320653001,SINGLE FAMILY RESIDENTIAL,1288015,6864.0,1150000,1997,4,4.0,0,Type Not Specified,3,No Pool
70,5503337702,11 Chaparral Ct,,5546,33.588532,-117.621851,780-111-25,60590320653001,SINGLE FAMILY RESIDENTIAL,1173732,7130.0,825000,1996,5,4.0,1,Type Not Specified,2,No Pool
71,4747188649,21 Chaparral Ct,,5546,33.588052,-117.621233,780-111-29,60590320653001,SINGLE FAMILY RESIDENTIAL,1072826,6890.0,711000,1996,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
72,4336676943,22 Chaparral Ct,,5546,33.588143,-117.621039,780-111-30,60590320653001,SINGLE FAMILY RESIDENTIAL,994220,9000.0,652500,1996,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
73,3044568005,36 Crestview Dr,,5552,33.590409,-117.620843,780-121-02,60590320653001,SINGLE FAMILY RESIDENTIAL,613714,8071.0,395000,1997,5,4.0,1,Type Not Specified,2,No Pool
74,2322627322,5 Chaparral Ct,,5553,33.589332,-117.621817,780-122-10,60590320653004,SINGLE FAMILY RESIDENTIAL,978157,7920.0,610000,1997,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
75,6703245999,12 Hillside Dr,,5554,33.589688,-117.622055,780-122-18,60590320653004,SINGLE FAMILY RESIDENTIAL,742223,5569.0,520000,1996,3,3.0,0,Type Not Specified,2,Spa/Hot Tub (only)
76,6108891342,28 Hillside Dr,,5554,33.58897,-117.622482,780-122-23,60590320653004,SINGLE FAMILY RESIDENTIAL,473256,7383.0,298500,1997,3,3.0,0,Type Not Specified,3,No Pool
77,2212545485,29 Hillside Dr,,5554,33.588973,-117.623041,780-122-25,60590320653004,SINGLE FAMILY RESIDENTIAL,646751,8480.0,379000,1997,3,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
78,6295229998,27 Hillside Dr,,5554,33.589145,-117.62303,780-122-26,60590320653004,SINGLE FAMILY RESIDENTIAL,500252,6414.0,279000,1997,4,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
79,9198184756,19 Hillside Dr,,5554,33.589719,-117.622633,780-122-30,60590320653004,SINGLE FAMILY RESIDENTIAL,1130914,5650.0,920000,1997,4,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
80,4373067956,11 Hillside Dr,,5554,33.590052,-117.622242,780-122-33,60590320653004,SINGLE FAMILY RESIDENTIAL,869911,5408.0,625000,1996,3,3.0,0,Type Not Specified,2,No Pool
81,2056189762,1 Hillside Dr,,5554,33.590682,-117.621518,780-122-38,60590320653004,SINGLE FAMILY RESIDENTIAL,709790,7787.0,458000,1996,4,3.0,0,Type Not Specified,2,No Pool
82,3044582284,50 Ledgewood Dr,,5539,33.58729,-117.624522,780-131-08,60590320653005,SINGLE FAMILY RESIDENTIAL,967501,6534.0,695000,1997,4,3.0,0,Type Not Specified,3,No Pool
83,7756568377,51 Ledgewood Dr,,5543,33.587136,-117.625005,780-131-15,60590320653005,SINGLE FAMILY RESIDENTIAL,586303,6534.0,358000,1997,4,3.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
84,4920342261,39 Ledgewood Dr,,5543,33.588103,-117.62532,780-131-21,60590320653005,SINGLE FAMILY RESIDENTIAL,987573,6534.0,645000,1997,4,3.0,0,Type Not Specified,3,Type Unspecified
85,9288073777,22 Sunny Slope,,5556,33.589769,-117.623436,780-151-19,60590320653004,SINGLE FAMILY RESIDENTIAL,342242,5635.0,223000,1996,3,3.0,0,Type Not Specified,2,No Pool
86,2728355402,25 Sunny Slope,,5556,33.58969,-117.623923,780-151-36,60590320653004,SINGLE FAMILY RESIDENTIAL,894744,5499.0,830000,1995,4,2.0,1,Type Not Specified,2,No Pool
87,2678058607,11 Legacy Way,,5565,33.59039,-117.626684,780-171-05,60590320653005,SINGLE FAMILY RESIDENTIAL,482288,5017.0,320500,1998,4,2.0,1,Type Not Specified,2,No Pool
88,1783477933,31 Legacy Way,,5565,33.589548,-117.627375,780-171-14,60590320653005,SINGLE FAMILY RESIDENTIAL,504068,2773.0,355000,1997,4,2.0,1,Type Not Specified,2,No Pool
89,4567579556,32 Tradition Ln,,5578,33.58899,-117.626604,780-171-41,60590320653005,SINGLE FAMILY RESIDENTIAL,764069,4483.0,659000,1998,4,2.0,1,Type Not Specified,2,No Pool
90,7739087858,30 Tradition Ln,,5578,33.589081,-117.626532,780-171-42,60590320653005,SINGLE FAMILY RESIDENTIAL,526142,4513.0,360000,1998,4,2.0,1,Type Not Specified,2,No Pool
91,1790216214,55 Legacy Way,,5565,33.588452,-117.628264,780-181-04,60590320653005,SINGLE FAMILY RESIDENTIAL,754518,2759.0,655000,1998,4,2.0,1,Type Not Specified,2,No Pool
92,3854369537,44 Tradition Ln,,5578,33.588458,-117.627116,780-181-23,60590320653005,SINGLE FAMILY RESIDENTIAL,381443,2780.0,251500,1998,4,2.0,1,Type Not Specified,2,No Pool
93,5534808084,42 Tradition Ln,,5578,33.588555,-117.627048,780-181-24,60590320653005,SINGLE FAMILY RESIDENTIAL,341986,2727.0,227000,1998,3,3.0,0,Type Not Specified,2,No Pool
94,2013935653,39 Tradition Ln,,5572,33.588859,-117.627223,780-181-31,60590320653006,SINGLE FAMILY RESIDENTIAL,336013,2772.0,223500,1998,3,3.0,0,Type Not Specified,2,No Pool
95,5004339985,54 Legacy Way,,5566,33.588325,-117.62793,780-181-42,60590320653006,SINGLE FAMILY RESIDENTIAL,758763,2838.0,595000,1998,4,2.0,1,Type Not Specified,2,No Pool
96,5799246438,46 Legacy Way,,5566,33.588698,-117.627639,780-181-46,60590320653006,SINGLE FAMILY RESIDENTIAL,754518,2772.0,639000,1998,4,2.0,1,Type Not Specified,2,No Pool
97,5112757485,7 Rolling Rdg,,8707,33.586198,-117.622922,780-192-02,60590320654006,SINGLE FAMILY RESIDENTIAL,941562,4820.0,785000,1999,5,3.0,0,Type Not Specified,2,No Pool
98,5303209879,5 Lark Dr,,8746,33.586677,-117.622836,780-192-05,60590320654006,SINGLE FAMILY RESIDENTIAL,576137,7015.0,390000,1998,4,2.0,1,Type Not Specified,2,No Pool
99,5994973996,28 Spring View Way,,8704,33.585434,-117.621238,780-192-24,60590320654006,SINGLE FAMILY RESIDENTIAL,786525,5163.0,565000,1998,5,3.0,1,Type Not Specified,2,No Pool
100,9891286379,30 Rolling Rdg,,8711,33.584895,-117.621963,780-192-59,60590320654008,SINGLE FAMILY RESIDENTIAL,990460,4912.0,805500,1998,4,2.0,1,Type Not Specified,2,No Pool
101,1025284418,29 Rolling Rdg,,8708,33.584803,-117.622486,780-192-62,60590320654012,SINGLE FAMILY RESIDENTIAL,1029996,7256.0,848000,1998,6,4.0,0,Type Not Specified,2,No Pool
102,9146063534,27 Rolling Rdg,,8708,33.584974,-117.622527,780-192-63,60590320654012,SINGLE FAMILY RESIDENTIAL,554557,4491.0,383000,1998,4,2.0,1,Type Not Specified,2,No Pool
103,6445181339,10 Lost Cyn,,8740,33.58175,-117.62191,780-193-15,60590320654006,SINGLE FAMILY RESIDENTIAL,712788,5929.0,477500,1999,4,3.0,1,Type Not Specified,2,No Pool
104,3031468157,18 Lost Cyn,,8740,33.581337,-117.62195,780-193-18,60590320654006,SINGLE FAMILY RESIDENTIAL,1121180,7635.0,775000,1999,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
105,9565264366,15 Lost Cyn,,8740,33.581613,-117.622573,780-193-21,60590320654006,SINGLE FAMILY RESIDENTIAL,749530,6880.0,478000,1999,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
106,8477338189,5 Lost Cyn,,8740,33.58206,-117.622364,780-193-24,60590320654006,SINGLE FAMILY RESIDENTIAL,770077,9818.0,496000,1999,3,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
107,9906487814,44 Shea Rdg,,8700,33.581415,-117.623464,780-193-30,60590320654006,SINGLE FAMILY RESIDENTIAL,1138631,8096.0,819000,1999,3,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
108,2176763566,43 Shea Rdg,,8700,33.581765,-117.624031,780-193-34,60590320654006,SINGLE FAMILY RESIDENTIAL,724890,7480.0,483000,1999,3,3.0,1,Type Not Specified,2,No Pool
109,8217442086,41 Shea Rdg,,8700,33.581877,-117.623931,780-193-35,60590320654006,SINGLE FAMILY RESIDENTIAL,768189,7172.0,520000,1998,3,3.0,0,Type Not Specified,2,No Pool
110,4507412803,21 Shea Rdg,,8710,33.58348,-117.622911,780-193-45,60590320654012,SINGLE FAMILY RESIDENTIAL,793889,4771.0,530000,1998,4,3.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
111,3201404670,61 Rolling Rdg,,8723,33.582595,-117.622319,780-193-69,60590320654012,SINGLE FAMILY RESIDENTIAL,921701,9123.0,627500,1999,3,3.0,1,Type Not Specified,2,Spa/Hot Tub (only)
112,3386420417,45 Rolling Rdg,,8723,33.58364,-117.621706,780-193-77,60590320654012,SINGLE FAMILY RESIDENTIAL,1135083,5627.0,820000,1999,4,3.0,1,Type Not Specified,2,No Pool
113,2483329860,9 Radiance Ln,,8712,33.583915,-117.627261,780-201-05,60590320654010,SINGLE FAMILY RESIDENTIAL,490170,8468.0,308000,1999,3,2.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
114,4173502088,11 Radiance Ln,,8712,33.58407,-117.62711,780-201-06,60590320654010,SINGLE FAMILY RESIDENTIAL,759824,3788.0,660000,1998,3,2.0,1,Type Not Specified,2,No Pool
115,9354251317,37 Radiance Ln,,8718,33.584432,-117.625375,780-201-18,60590320654010,SINGLE FAMILY RESIDENTIAL,421021,3596.0,285500,1998,3,2.0,1,Type Not Specified,2,No Pool
116,1157218016,65 Radiance Ln,,8719,33.58321,-117.626098,780-201-32,60590320654010,SINGLE FAMILY RESIDENTIAL,446768,3403.0,296000,1999,3,2.0,1,Type Not Specified,2,No Pool
117,1901952791,83 Radiance Ln,,8719,33.582999,-117.627025,780-201-40,60590320654010,SINGLE FAMILY RESIDENTIAL,425454,4129.0,288000,1999,3,2.0,1,Type Not Specified,2,No Pool
118,8212754033,32 Radiance Ln,,8713,33.584129,-117.625744,780-202-09,60590320654018,SINGLE FAMILY RESIDENTIAL,506908,3167.0,350000,1998,3,2.0,1,Type Not Specified,2,No Pool
119,9393222546,7 Dancing Cloud Ct,,8720,33.583798,-117.626388,780-202-21,60590320654018,SINGLE FAMILY RESIDENTIAL,652489,3263.0,444000,1999,3,2.0,1,Type Not Specified,2,No Pool
120,7764802387,68 Radiance Ln,,8719,33.58337,-117.626502,780-202-25,60590320654018,SINGLE FAMILY RESIDENTIAL,776102,3941.0,735000,1999,3,2.0,1,Type Not Specified,2,No Pool
121,3670657379,4 Radiance Ln,,8713,33.583526,-117.626814,780-202-29,60590320654018,SINGLE FAMILY RESIDENTIAL,418802,3549.0,283500,1999,3,2.0,1,Type Not Specified,2,No Pool
122,9464463757,64 Radiance Ln,,8719,33.583535,-117.626206,780-203-01,60590320654016,SINGLE FAMILY RESIDENTIAL,605552,3584.0,435000,1999,3,2.0,1,Type Not Specified,2,No Pool
123,7277914326,23 Edmonton Way,,8731,33.585739,-117.624484,780-211-09,60590320654010,SINGLE FAMILY RESIDENTIAL,598592,4153.0,430000,1998,4,2.0,1,Type Not Specified,2,No Pool
124,8596058747,2 Balmoral Pl,,8730,33.586023,-117.6235,780-211-16,60590320654010,SINGLE FAMILY RESIDENTIAL,944683,5718.0,745000,1998,4,2.0,1,Type Not Specified,2,No Pool
125,7159367771,6 Chandler Pl,,8734,33.584752,-117.624832,780-211-42,60590320654010,SINGLE FAMILY RESIDENTIAL,966531,3681.0,860000,1998,5,3.0,0,Type Not Specified,2,No Pool
126,2787390201,11 Chandler Pl,,8735,33.584959,-117.624445,780-212-07,60590320654017,SINGLE FAMILY RESIDENTIAL,956127,5008.0,780000,1999,4,2.0,1,Type Not Specified,2,No Pool
127,7249041968,36 Willowbrook Ln,,5515,33.593725,-117.625565,787-211-22,60590320534005,SINGLE FAMILY RESIDENTIAL,366797,3266.0,239000,1996,3,2.0,1,Type Not Specified,2,No Pool
128,7410070061,26 Willowbrook Ln,,5515,33.594321,-117.625317,787-211-27,60590320534005,SINGLE FAMILY RESIDENTIAL,361926,3266.0,245000,1996,3,2.0,1,Type Not Specified,2,No Pool
129,7058916600,24 Willowbrook Ln,,5515,33.594441,-117.625271,787-211-28,60590320534005,SINGLE FAMILY RESIDENTIAL,343550,3266.0,228000,1996,3,2.0,1,Type Not Specified,2,No Pool
130,3065063989,35 Willowbrook Ln,,5514,33.593887,-117.625823,787-211-35,60590320534003,SINGLE FAMILY RESIDENTIAL,415322,2520.0,292500,1996,3,2.0,1,Type Not Specified,2,No Pool
131,6984486722,37 Willowbrook Ln,,5514,33.59377,-117.625867,787-211-36,60590320534003,SINGLE FAMILY RESIDENTIAL,679186,2520.0,497000,1996,3,2.0,1,Type Not Specified,2,No Pool
132,6707423856,43 Willowbrook Ln,,5514,33.593433,-117.626033,787-211-39,60590320534003,SINGLE FAMILY RESIDENTIAL,293892,2652.0,192000,1997,3,2.0,1,Type Not Specified,2,No Pool
